"FlightID";"RouteCode";"Origin";"Destination";"FlightDate";"FlightDurationMins";"AircraftType";"SeatsAvailable";"Revenue";"SeatsSold";"OperationalCost"
1;"MAA-BLR";"MAA";"BLR";"2025-03-06";241;"A321";255;1925325;215;439062
2;"CCU-BOM";"CCU";"BOM";"2025-06-12";263;"B787";277;673007;151;836942
3;"HYD-BLR";"HYD";"BLR";"2025-07-25";296;"A321";167;425314;58;580281
4;"BLR-HYD";"BLR";"HYD";"2025-07-20";283;"A320";242;2002460;236;805019
5;"HYD-BLR";"HYD";"BLR";"2025-12-26";134;"B737";236;1201828;106;1066602
6;"BLR-MAA";"BLR";"MAA";"2025-09-26";216;"A321";245;564624;54;266223
7;"CCU-AMD";"CCU";"AMD";"2025-01-23";112;"A321";152;892288;128;512908
8;"HYD-BLR";"HYD";"BLR";"2025-12-16";176;"A350";252;1994958;223;892435
9;"AMD-HYD";"AMD";"HYD";"2025-05-12";286;"A321";152;362362;77;695279
10;"MAA-BLR";"MAA";"BLR";"2025-05-18";205;"B737";214;650875;205;958552
11;"AMD-BOM";"AMD";"BOM";"2025-07-24";297;"B787";160;1339072;122;492425
12;"MAA-HYD";"MAA";"HYD";"2025-05-09";172;"A321";235;652920;60;1319476
13;"AMD-DEL";"AMD";"DEL";"2025-08-26";154;"B737";152;588973;77;1401249
14;"AMD-HYD";"AMD";"HYD";"2025-09-11";189;"A320";209;453303;103;741951
15;"BOM-MAA";"BOM";"MAA";"2025-04-25";218;"B787";145;530660;130;1197834
16;"AMD-BLR";"AMD";"BLR";"2025-09-01";117;"B787";263;1020186;157;205803
17;"AMD-BLR";"AMD";"BLR";"2025-11-15";214;"A321";264;2092568;178;1173112
18;"HYD-BLR";"HYD";"BLR";"2025-12-16";79;"A320";239;650621;109;808724
19;"HYD-BLR";"HYD";"BLR";"2025-12-30";252;"B737";219;1148404;106;296526
20;"MAA-DEL";"MAA";"DEL";"2025-05-29";254;"B737";223;1418378;221;662340
21;"MAA-BLR";"MAA";"BLR";"2025-12-21";265;"B737";200;1043792;89;481818
22;"BOM-BLR";"BOM";"BLR";"2025-05-27";251;"A321";149;1257150;145;963465
23;"MAA-CCU";"MAA";"CCU";"2025-11-03";187;"B787";200;1429760;128;788806
24;"BLR-HYD";"BLR";"HYD";"2025-08-21";174;"B737";121;546989;73;255546
25;"DEL-CCU";"DEL";"CCU";"2025-01-10";287;"B787";143;582096;134;1132382
26;"DEL-CCU";"DEL";"CCU";"2025-04-17";83;"B787";229;1446770;130;419796
27;"MAA-DEL";"MAA";"DEL";"2025-11-23";270;"A320";185;1069770;169;967840
